正在爬取第1页
关于拟采用单一来源方式招标采购2023年研究生录取通知书邮寄服务项目的公示,2023-07-19,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0719/c791a226625/page.htm,,
关于拟采用单一来源方式招标采购2023气象部门财务人员实务操作培训教学资源项目的公示,2023-07-19,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0719/c791a226623/page.htm,,
南京信息工程大学公寓装修项目采购公告,2023-07-19,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0719/c791a226619/page.htm,,
2023反应扩散方程和分支理论天元讲习班,2023-07-19,专题讲座,数学与统计学院（公共数学教学部）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0719/c791a226616/page.htm,,
关于7月21日、8月4日、8月18日、8月25日明德楼5楼因考试实行封闭管理的通知,2023-07-19,教学考试,文学院（公共英语教学部）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0719/c791a226608/page.htm,,
关于印发《南京信息工程大学招标采购供应商诚信管理办法（试行）》的通知,2023-07-18,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0718/c791a226606/page.htm,,
南京信息工程大学2023年新生军训服装采购项目中标候选人公示,2023-07-18,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0718/c791a226598/page.htm,,
关于会议费（培训费）支出和报销补充规定的通知,2023-07-18,其他,财务处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0718/c791a226582/page.htm,,
关于做好2023年工会工作研究课题申报暨2022年立项课题结题工作的通知,2023-07-18,其他,工会,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0718/c791a226587/page.htm,,
关于全面提升课堂教学质量和深入开展专项检查工作的通知,2023-07-18,其他,教师发展与教学评估中心,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0717/c791a226539/page.htm,,
关于组织做好2023年度教育部哲学社会科学研究重大课题攻关项目和高校思想政治理论课教师研究专项重大课题攻关项目招标工作的通知,2023-07-18,科研信息,社会科学处（校社科联、自贸区研究院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0718/c791a226583/page.htm,,
特邀北京大学数学科学学院邵嗣烘副教授作学术报告 ,2023-07-18,学术报告,数学与统计学院（公共数学教学部）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0718/c791a226579/page.htm,,
特邀武汉大学数学与统计学院蒋维副教授作学术报告,2023-07-18,学术报告,数学与统计学院（公共数学教学部）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0718/c791a226578/page.htm,,
关于学生宿舍洗衣机房暂停服务的通知,2023-07-17,其他,总务处（后勤服务总公司）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0717/c791a226544/page.htm,,
南京信息工程大学学生宿舍自助洗衣房经营服务项目中标结果公示,2023-07-17,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0717/c791a226541/page.htm,,
关于开展2023年谢义炳青年气象科技奖评选的通知,2023-07-17,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0716/c791a226523/page.htm,,
关于征集第一届乡村振兴志愿服务技能大赛试题的通知,2023-07-17,其他,研究生工作部、研究生院、学科建设处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0717/c791a226537/page.htm,,
